Feature,Importance
active_duration,0.3221292504895853
id_assessment_count,0.10740608865942677
score_mean,0.02410539433861497
code_module,0.023072814669752584
code_presentation,0.010450418372796921
score_std,0.006551539967954478
score_max,0.005020473562399907
score_min,0.0015666726010326371
is_banked_mean,0.0012284137439914967
age_band,0.0002848495638241522
num_of_prev_attempts,0.00023144027060711947
gender,0.0001424247819121205
withdrew,0.0
date_unregistration,0.0
date_registration,-5.3409293216977184e-05
avg_click_per_day,-0.00021363717286801976
highest_education,-0.0002848495638240522
imd_band,-0.00030265266156306316
studied_credits,-0.0003382588570410738
region,-0.0003738650525191067
disability,-0.0007477301050382024
late_registration,-0.0008367455937332679
active_days,-0.0009257610824283113
days_since_last_login,-0.0012284137439913967
last_login_day,-0.0014598540145984828
total_click,-0.003382588570411216
